Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-04-07,7077.0,7459.69,7329.9,7197.32,103585.17,757201786.7
2020-04-08,7150.0,7420.0,7197.32,7361.28,76059.15,555122600.28
2020-04-09,7108.08,7371.92,7361.28,7283.54,61094.87,444741085.9
2020-04-10,6739.98,7295.75,7283.54,6858.92,104674.62,727281590.77
2020-04-11,6760.0,6944.3,6858.92,6876.83,45470.29,311699573.52
2020-04-12,6780.0,7177.0,6876.83,6903.79,73868.67,516235035.19
2020-04-13,6575.0,6903.79,6903.79,6837.91,96415.48,649390681.25
2020-04-14,6754.28,6978.0,6837.91,6868.7,69068.62,474794776.19
2020-04-15,6605.0,6933.0,6868.7,6621.24,61571.38,416947490.62
2020-04-16,6468.27,7190.0,6621.24,7101.94,125009.86,865277543.39
2020-04-17,6972.98,7148.12,7101.94,7027.55,54126.51,382334236.17
2020-04-18,7014.4,7293.08,7027.55,7248.6,49488.54,354845083.78
2020-04-19,7055.6,7266.15,7248.6,7120.74,45664.86,326485586.93
2020-04-20,6751.0,7220.0,7120.74,6826.83,90149.49,629612368.75
2020-04-21,6762.0,6940.0,6826.83,6841.37,60109.71,411800606.08
2020-04-22,6818.0,7156.38,6841.37,7125.14,61486.38,431271646.18
2020-04-23,7020.0,7738.0,7125.14,7482.39,102773.57,756320213.59
2020-04-24,7388.0,7615.96,7482.39,7505.0,60182.12,452118137.79
2020-04-25,7431.07,7705.0,7505.0,7538.67,43874.43,331292050.77
2020-04-26,7480.0,7700.0,7538.67,7693.1,50522.62,384202783.27
2020-04-27,7606.0,7792.02,7693.1,7774.62,65441.34,504025811.65
2020-04-28,7659.12,7780.0,7774.62,7738.98,46302.75,357391780.93
2020-04-29,7710.05,8952.89,7738.98,8778.57,183546.89,1536390177.04
2020-04-30,8401.0,9460.0,8778.57,8620.0,206277.21,1839283907.46
2020-05-01,8613.56,9059.18,8620.0,8826.96,91468.82,805640126.63
2020-05-02,8753.0,9010.0,8826.96,8972.05,59002.09,523838859.54
2020-05-03,8712.0,9200.0,8972.05,8894.16,90126.07,808427095.93
2020-05-04,8522.0,8950.0,8894.16,8871.96,84418.51,738343818.69
2020-05-05,8760.0,9118.58,8871.96,9021.83,76480.77,683083018.88
2020-05-06,8906.21,9395.0,9021.83,9142.92,105925.3,972793508.46
2020-05-07,9021.0,10067.0,9142.92,9986.4,147154.61,1409783462.01
2020-05-08,9705.0,10035.96,9986.4,9800.01,100683.8,997005843.74
2020-05-09,9520.0,9914.25,9800.01,9539.4,81950.68,795001351.68
2020-05-10,8117.0,9574.83,9539.4,8722.77,183865.18,1594996476.98
2020-05-11,8200.0,9168.0,8722.77,8561.52,168807.25,1468392820.76
2020-05-12,8528.78,8978.26,8561.52,8810.79,86522.78,760195457.05
2020-05-13,8792.99,9398.0,8810.79,9309.37,92466.27,839725719.96
2020-05-14,9256.76,9939.0,9309.37,9791.98,129565.38,1247456797.82
2020-05-15,9150.0,9845.62,9791.98,9316.42,115890.76,1099721375.89
2020-05-16,9220.0,9588.0,9316.42,9381.27,59587.63,560547005.03
2020-05-17,9322.1,9888.0,9381.27,9680.04,68647.76,663088800.82
2020-05-18,9464.23,9950.0,9680.04,9733.93,82006.6,797622297.33
2020-05-19,9474.0,9897.21,9733.93,9775.53,78539.76,760713946.01
2020-05-20,9326.0,9842.0,9775.53,9511.43,74923.74,721190802.76
2020-05-21,8815.0,9578.47,9511.43,9068.65,108928.78,1002046265.94
2020-05-22,8933.52,9271.0,9068.65,9170.0,58943.13,537847834.5
2020-05-23,9070.0,9307.85,9170.0,9179.15,43526.3,400407195.63
2020-05-24,8700.0,9298.0,9179.15,8720.34,70379.87,636787240.37
